"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\admin\page.tsx", "TypeScript JSX", 0, 859, 0, 0, 0, 92, 951
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\change-password\route.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\google\callback\route.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 5, 45
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\google\route.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 6, 26
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\me\route.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\sign-in\route.ts", "TypeScript", 26, 0, 0, 0, 0, 4, 30
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\sign-out\route.ts", "TypeScript", 26, 0, 0, 0, 0, 4, 30
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\auth\sign-up\route.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\blog\[_id]\route.ts", "TypeScript", 32, 0, 0, 0, 0, 7, 39
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\blog\route.ts", "TypeScript", 30, 0, 0, 0, 0, 9, 39
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\blog\view\[slug]\route.ts", "TypeScript", 20, 0, 0, 0, 0, 5, 25
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\featured\[_id]\route.ts", "TypeScript", 18, 0, 0, 0, 0, 5, 23
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\featured\route.ts", "TypeScript", 26, 0, 0, 0, 0, 7, 33
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\media\[id]\route.ts", "TypeScript", 18, 0, 0, 0, 0, 5, 23
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\media\route.ts", "TypeScript", 19, 0, 0, 0, 0, 6, 25
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\media\sign\route.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\misc\health\route.ts", "TypeScript", 24, 0, 0, 0, 0, 10, 34
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\project\[_id]\route.ts", "TypeScript", 32, 0, 0, 0, 0, 7, 39
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\project\route.ts", "TypeScript", 28, 0, 0, 0, 0, 7, 35
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\team\[_id]\members\route.ts", "TypeScript", 22, 0, 0, 0, 0, 6, 28
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\team\[_id]\route.ts", "TypeScript", 47, 0, 0, 0, 0, 10, 57
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\team\route.ts", "TypeScript", 26, 0, 0, 0, 0, 7, 33
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\user\assign\route.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\user\route.ts", "TypeScript", 37, 0, 0, 0, 0, 7, 44
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\api\user\team\route.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\assets\glowing-circle.svg", "XML", 0, 0, 0, 22, 0, 1, 23
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\assets\wave-1.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\assets\wave-2.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\assets\wave-3.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\auth\sign-in\page.tsx", "TypeScript JSX", 0, 299, 0, 0, 27, 28, 354
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\auth\sign-up\page.tsx", "TypeScript JSX", 0, 676, 0, 0, 34, 56, 766
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\axiosApi.ts", "TypeScript", 41, 0, 0, 0, 0, 7, 48
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 136, 0, 0, 251, 19, 406
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\blog\components\BlogList.tsx", "TypeScript JSX", 0, 196, 0, 0, 0, 16, 212
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\blog\lib\mdx.css", "PostCSS", 0, 0, 141, 0, 16, 38, 195
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\blog\page.tsx", "TypeScript JSX", 0, 189, 0, 0, 5, 22, 216
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\components\FireFlyBackground.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 12, 126
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\components\OTPInput.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 10, 72
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\components\ResendOTPTimerComponent.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 11, 62
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\components\navbar.tsx", "TypeScript JSX", 0, 268, 0, 0, 1, 14, 283
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\context\authContext.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 15, 68
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 1776, 0, 0, 68, 127, 1971
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\featuredprojects.tsx", "TypeScript JSX", 0, 288, 0, 0, 0, 32, 320
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\featuredprojects2.tsx", "TypeScript JSX", 0, 486, 0, 0, 5, 43, 534
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\fonts.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 5, 17
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\footer.tsx", "TypeScript JSX", 0, 61, 0, 0, 1, 9, 71
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\forbidden\page.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 8, 88
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\forgot-password\page.tsx", "TypeScript JSX", 0, 279, 0, 0, 16, 26, 321
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\gamelist.tsx", "TypeScript JSX", 0, 98, 0, 0, 0, 6, 104
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\games\component\GameClient.tsx", "TypeScript JSX", 0, 444, 0, 0, 125, 44, 613
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\games\page.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 10, 76
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\globals.css", "PostCSS", 0, 0, 189, 0, 16, 34, 239
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\layout.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 6, 45
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\page.tsx", "TypeScript JSX", 0, 90, 0, 0, 104, 15, 209
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\projectlist.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 3, 147
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\projects\components\ProjectClient.tsx", "TypeScript JSX", 0, 453, 0, 0, 4, 39, 496
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\projects\page.tsx", "TypeScript JSX", 0, 119, 0, 0, 0, 15, 134
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\team\TeamCard.tsx", "TypeScript JSX", 0, 133, 0, 0, 12, 16, 161
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\team\page.tsx", "TypeScript JSX", 0, 114, 0, 0, 6, 15, 135
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\types\core.types.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\types\domain.types.ts", "TypeScript", 156, 0, 0, 0, 0, 17, 173
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\types\index.types.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\types\response.types.ts", "TypeScript", 19, 0, 0, 0, 0, 5, 24
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\utils\pretty.ts", "TypeScript", 39, 0, 0, 0, 0, 9, 48
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\app\utils\styes.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\config\constants.ts", "TypeScript", 1, 0, 0, 0, 0, 2, 3
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\db.ts", "TypeScript", 55, 0, 0, 0, 0, 13, 68
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\blog.model.ts", "TypeScript", 42, 0, 0, 0, 0, 5, 47
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\featured.model.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\media.model.ts", "TypeScript", 24, 0, 0, 0, 0, 5, 29
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\project.model.ts", "TypeScript", 57, 0, 0, 0, 0, 5, 62
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\signUpRequest.model.ts", "TypeScript", 34, 0, 0, 0, 0, 7, 41
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\team.model.ts", "TypeScript", 27, 0, 0, 0, 0, 5, 32
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\models\user.model.ts", "TypeScript", 62, 0, 0, 0, 0, 5, 67
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\blog.repo.ts", "TypeScript", 62, 0, 0, 0, 0, 11, 73
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\featured.repo.ts", "TypeScript", 73, 0, 0, 0, 0, 6, 79
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\generic.repo.ts", "TypeScript", 202, 0, 0, 0, 2, 26, 230
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\media.repo.ts", "TypeScript", 14, 0, 0, 0, 0, 5, 19
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\project.repo.ts", "TypeScript", 34, 0, 0, 0, 0, 8, 42
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\signUpRequest.repo.ts", "TypeScript", 27, 0, 0, 0, 0, 8, 35
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\team.repo.ts", "TypeScript", 58, 0, 0, 0, 0, 11, 69
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\database\repos\user.repo.ts", "TypeScript", 29, 0, 0, 0, 0, 7, 36
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\handler.ts", "TypeScript", 213, 0, 0, 0, 0, 28, 241
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\auth.service.ts", "TypeScript", 397, 0, 0, 0, 0, 67, 464
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\blog.service.ts", "TypeScript", 200, 0, 0, 0, 0, 28, 228
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\core\email.core.service.ts", "TypeScript", 63, 0, 0, 0, 0, 7, 70
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\core\hash.core.service.ts", "TypeScript", 28, 0, 0, 0, 2, 8, 38
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\core\jwt.core.service.ts", "TypeScript", 40, 0, 0, 0, 1, 11, 52
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\core\otp.core.service.ts", "TypeScript", 17, 0, 0, 0, 0, 4, 21
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\featured.service.ts", "TypeScript", 231, 0, 0, 0, 0, 34, 265
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\media.service.ts", "TypeScript", 123, 0, 0, 0, 1, 19, 143
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\project.service.ts", "TypeScript", 174, 0, 0, 0, 0, 23, 197
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\team.service.ts", "TypeScript", 224, 0, 0, 0, 0, 28, 252
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\user.service.ts", "TypeScript", 242, 0, 0, 0, 5, 31, 278
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\api.types.ts", "TypeScript", 71, 0, 0, 0, 2, 10, 83
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\core.types.ts", "TypeScript", 85, 0, 0, 0, 0, 12, 97
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\domain.types.ts", "TypeScript", 170, 0, 0, 0, 0, 20, 190
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\global.types.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\index.types.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\response.types.ts", "TypeScript", 46, 0, 0, 0, 0, 8, 54
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\service.types.ts", "TypeScript", 489, 0, 0, 0, 2, 84, 575
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\cloudinary.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\cookie.ts", "TypeScript", 19, 0, 0, 0, 0, 6, 25
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\email.ts", "TypeScript", 47, 0, 0, 0, 0, 11, 58
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\envVariable.ts", "TypeScript", 17, 0, 0, 0, 0, 8, 25
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\error.ts", "TypeScript", 11, 0, 0, 0, 0, 6, 17
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\logger.ts", "TypeScript", 20, 0, 0, 0, 0, 9, 29
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\responseHandler.ts", "TypeScript", 106, 0, 0, 0, 0, 20, 126
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\secret.ts", "TypeScript", 11, 0, 0, 0, 0, 6, 17
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\serialize.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\auth.validator.ts", "TypeScript", 41, 0, 0, 0, 0, 3, 44
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\blog.validator.ts", "TypeScript", 41, 0, 0, 0, 0, 3, 44
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\core.validator.ts", "TypeScript", 90, 0, 0, 0, 0, 11, 101
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\featured.validator.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 20
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\media.validator.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\project.validator.ts", "TypeScript", 31, 0, 0, 0, 0, 3, 34
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\team.validator.ts", "TypeScript", 36, 0, 0, 0, 0, 3, 39
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\user.validator.ts", "TypeScript", 42, 0, 0, 0, 0, 3, 45
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\middleware.ts", "TypeScript", 46, 0, 0, 0, 0, 13, 59
"Total", "-", 5042, 7645, 330, 49, 706, 1651, 15423